LOG D'ÉTAT PAR STEP (temps continu)

===== STEP 1 | temps simulé = 0.20 s =====
- team=A, type=Pikeman, HP=55.0, pos=(3.22,6.02), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(3.22,7.00), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(3.22,7.98), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(3.22,9.00), intent=move_to(15.00,9.00)
- team=A, type=Pikeman, HP=55.0, pos=(3.22,9.98), intent=move_to(15.00,9.00)
- team=A, type=Knight, HP=100.0, pos=(2.32,7.00), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(2.32,7.98), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(2.32,9.00), intent=move_to(15.00,9.00)
- team=A, type=Crossbowman, HP=35.0, pos=(1.19,6.01), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(1.19,7.99), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(1.19,9.99), intent=move_to(15.00,9.00)
- team=B, type=Pikeman, HP=55.0, pos=(16.00,6.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,7.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,8.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,9.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,10.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,11.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,7.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,5.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,7.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,11.00), intent=none

===== STEP 2 | temps simulé = 0.40 s =====
- team=A, type=Pikeman, HP=55.0, pos=(3.44,6.04), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(3.44,7.00), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(3.44,7.96), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(3.44,9.00), intent=move_to(15.00,9.00)
- team=A, type=Pikeman, HP=55.0, pos=(3.44,9.96), intent=move_to(15.00,9.00)
- team=A, type=Knight, HP=100.0, pos=(2.64,7.00), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(2.64,7.95), intent=move_to(15.00,7.00)
